document,page,country,iso3,frequency
OCR-D25260752.json,4,United States,USA,1
OCR-D25260752.json,5,United Kingdom,GBR,1
OCR-D25260752.json,34,France,FRA,1
OCR-D25260752.json,35,Mali,MLI,1
OCR-D697028.json,0,Mexico,MEX,1
OCR-D697028.json,12,United States,USA,1
OCR-D697028.json,13,Argentina,ARG,1
OCR-D697028.json,13,Thailand,THA,1
OCR-D697028.json,13,Mexico,MEX,1
OCR-D697028.json,13,Philippines,PHL,1
OCR-D697028.json,13,Malaysia,MYS,1
OCR-D697028.json,13,Peru,PER,1
OCR-D697028.json,14,DR Congo,,1
OCR-D697028.json,14,Argentina,ARG,1
OCR-D697028.json,14,Brazil,BRA,1
OCR-D697028.json,14,Jordan,JOR,1
OCR-D697028.json,21,United States,USA,1
OCR-D697028.json,28,United States,USA,1
OCR-D697028.json,31,United States,USA,1
OCR-D697028.json,32,Argentina,ARG,1
OCR-D697028.json,32,Ecuador,ECU,1
OCR-D697028.json,32,Pakistan,PAK,1
OCR-D697028.json,32,Tunisia,TUN,1
OCR-D697028.json,32,Syria,,1
OCR-D697028.json,32,Paraguay,PRY,1
OCR-D697028.json,32,Colombia,COL,1
OCR-D697028.json,32,DR Congo,,1
OCR-D697028.json,32,Indonesia,IDN,1
OCR-D697028.json,32,Venezuela,,1
OCR-D697028.json,32,South Korea,,1
OCR-D697028.json,32,Philippines,PHL,1
OCR-D697028.json,37,United States,USA,1
OCR-D697028.json,40,Portugal,PRT,1
OCR-D697028.json,40,China,CHN,1
OCR-D32875091.json,0,Indonesia,IDN,1
OCR-D32875091.json,5,Indonesia,IDN,1
OCR-D32875091.json,6,Indonesia,IDN,1
OCR-D32875091.json,12,Indonesia,IDN,1
OCR-D32875091.json,21,Indonesia,IDN,1
OCR-D32875091.json,26,Indonesia,IDN,1
OCR-D32875091.json,30,Indonesia,IDN,1
OCR-D32875091.json,30,United Kingdom,GBR,1
OCR-D32875091.json,31,United States,USA,1
OCR-D32875091.json,31,India,IND,1
OCR-D32875091.json,31,Burkina Faso,BFA,1
OCR-D32875091.json,31,Indonesia,IDN,1
OCR-D32875091.json,31,Romania,ROU,1
OCR-D32875091.json,42,Indonesia,IDN,1
OCR-D32875091.json,43,Indonesia,IDN,1
OCR-D32875091.json,57,Indonesia,IDN,1
OCR-D32875091.json,74,Indonesia,IDN,1
OCR-D32875091.json,78,Indonesia,IDN,1
OCR-D32875091.json,80,Indonesia,IDN,1
OCR-D5796629.json,0,Guatemala,GTM,1
OCR-D5796629.json,1,Guatemala,GTM,1
OCR-D5796629.json,2,Guatemala,GTM,1
OCR-D5796629.json,3,Guatemala,GTM,1
OCR-D5796629.json,4,Guatemala,GTM,1
OCR-D5796629.json,5,Guatemala,GTM,1
OCR-D5796629.json,6,Guatemala,GTM,1
OCR-D5796629.json,8,Guatemala,GTM,1
OCR-D5796629.json,9,Guatemala,GTM,1
OCR-D5796629.json,10,Guatemala,GTM,1
OCR-D5796629.json,11,Mexico,MEX,1
OCR-D5796629.json,12,Guatemala,GTM,1
OCR-D5796629.json,15,United States,USA,1
OCR-D5796629.json,16,Chile,CHL,1
OCR-D5796629.json,16,India,IND,1
OCR-D5796629.json,17,United States,USA,1
OCR-D5796629.json,19,Guatemala,GTM,1
OCR-D5796629.json,20,Guatemala,GTM,1
OCR-D5796629.json,21,Guatemala,GTM,1
OCR-D5796629.json,23,Guatemala,GTM,1
OCR-D5796629.json,24,Guatemala,GTM,1
OCR-D5796629.json,25,Guatemala,GTM,1
OCR-D5796629.json,26,Guatemala,GTM,1
OCR-D5796629.json,26,El Salvador,SLV,1
OCR-D5796629.json,27,Guatemala,GTM,1
OCR-D5796629.json,28,Guatemala,GTM,1
OCR-D5796629.json,29,Guatemala,GTM,1
OCR-D5796629.json,30,Guatemala,GTM,1
OCR-D5796629.json,31,Guatemala,GTM,1
OCR-D5796629.json,32,Guatemala,GTM,1
OCR-D5796629.json,33,Guatemala,GTM,1
OCR-D5796629.json,34,Guatemala,GTM,1
OCR-D5796629.json,36,Guatemala,GTM,1
OCR-D5796629.json,38,Guatemala,GTM,1
OCR-D5796629.json,39,Guatemala,GTM,1
OCR-D5796629.json,41,Guatemala,GTM,1
OCR-D5796629.json,43,Guatemala,GTM,1
OCR-D5796629.json,44,Guatemala,GTM,1
OCR-D5796629.json,47,Guatemala,GTM,1
OCR-D5796629.json,48,Guatemala,GTM,1
OCR-D5796629.json,49,Guatemala,GTM,1
OCR-D5796629.json,50,Guatemala,GTM,1
OCR-D5796629.json,52,Guatemala,GTM,1
OCR-D5796629.json,53,Guatemala,GTM,1
OCR-D5796629.json,54,Guatemala,GTM,1
OCR-D5796629.json,55,Guatemala,GTM,1
OCR-D5796629.json,56,Guatemala,GTM,1
OCR-D5796629.json,57,Guatemala,GTM,1
OCR-D5796629.json,59,Guatemala,GTM,1
OCR-D5796629.json,61,Guatemala,GTM,1
OCR-D5796629.json,62,Guatemala,GTM,1
OCR-D5796629.json,63,El Salvador,SLV,1
